yearmonth,coal_production,oil_production,gas_production,FF_production,nuclear_production,hydro_production,geothermal_production,solar_production,wind_production,biomass_production,renewable_production,totalprimary_production,ff_consumption,nuclear_consumption,renewable_consumption,totalprimary_consumption,primary_imports,primary_exports
2015 February,1.447888,1.521842,2.467951,5.437681,0.66368,0.207684,0.016614,0.025055,0.139054,0.382846,0.771253,6.872614,7.158336,0.66368,0.767846,8.604256,1.839729,1.0057
2015 March,1.628444,1.698707,2.751389,6.078541,0.67503,0.226274,0.018384,0.034916,0.142655,0.415134,0.837363,7.590934,6.897968,0.67503,0.834126,8.426533,2.078916,1.035106
2015 April,1.501834,1.655933,2.71118,5.868947,0.625226,0.209407,0.017077,0.039565,0.166504,0.401278,0.833831,7.328004,5.983047,0.625226,0.833068,7.461618,1.921578,1.105445
2015 May,1.408558,1.678972,2.76236,5.84989,0.688414,0.187549,0.018348,0.042524,0.159833,0.418828,0.827082,7.365386,6.100247,0.688414,0.82973,7.638888,2.000193,1.110182
2015 June,1.340692,1.604316,2.665912,5.610919,0.716542,0.190239,0.017349,0.043217,0.125073,0.416506,0.792384,7.119845,6.361218,0.716542,0.795514,7.894009,1.962594,1.032342
2015 July,1.530531,1.673326,2.766437,5.970294,0.746829,0.195832,0.018036,0.044948,0.127442,0.431961,0.818218,7.53534,6.836607,0.746829,0.820134,8.424892,2.031954,1.095109
2015 August,1.653553,1.668514,2.776393,6.098459,0.75732,0.178199,0.017919,0.045255,0.121893,0.428805,0.792071,7.64785,6.73131,0.75732,0.797073,8.307919,2.081931,1.053589
2015 September,1.555345,1.625593,2.703428,5.884367,0.69521,0.149981,0.016429,0.038966,0.130201,0.407021,0.742598,7.322175,6.214571,0.69521,0.750379,7.680299,1.925426,1.076211
2015 October,1.510434,1.665195,2.781897,5.957527,0.633451,0.154979,0.017722,0.034283,0.152646,0.415534,0.775164,7.366141,6.187324,0.633451,0.7761,7.612446,1.901351,1.069625
2015 November,1.372933,1.59875,2.683529,5.655211,0.63024,0.180209,0.017647,0.029638,0.183414,0.416219,0.827127,7.112579,6.200223,0.63024,0.823911,7.672074,1.898708,1.060174
2015 December,1.26206,1.641742,2.763919,5.667721,0.728229,0.21588,0.018225,0.027212,0.187297,0.434134,0.882748,7.278697,6.740898,0.728229,0.877118,8.363649,2.075998,1.15587
2016 January,1.222366,1.631403,2.741308,5.595077,0.758537,0.236473,0.017675,0.026066,0.170482,0.42485,0.875547,7.22916,7.415235,0.758537,0.858883,9.053586,2.103195,1.099
2016 February,1.155989,1.502657,2.598368,5.257015,0.686509,0.222851,0.01651,0.035123,0.185916,0.404305,0.864706,6.808231,6.664336,0.686509,0.855215,8.222713,2.026808,1.037638
2016 March,1.114686,1.612231,2.771466,5.498384,0.691851,0.252863,0.01752,0.043391,0.202545,0.425489,0.941808,7.132043,6.333935,0.691851,0.932558,7.975876,2.135119,1.167178
2016 April,0.970598,1.522423,2.682064,5.175086,0.656112,0.238906,0.016366,0.048053,0.192019,0.396276,0.89162,6.722818,5.885351,0.656112,0.886942,7.442913,2.026277,1.122731
2016 May,1.069358,1.564988,2.75588,5.390225,0.696324,0.23529,0.017766,0.055309,0.174004,0.419688,0.902057,6.988606,5.95903,0.696324,0.899392,7.572458,2.165413,1.242526
2016 June,1.19839,1.485566,2.644257,5.328212,0.702587,0.214523,0.016758,0.05637,0.150513,0.420531,0.858695,6.889494,6.349396,0.702587,0.853246,7.926171,2.070735,1.190165
2016 July,1.246326,1.533598,2.744783,5.524708,0.735784,0.198076,0.017484,0.061635,0.162653,0.430674,0.870521,7.131012,6.827179,0.735784,0.872205,8.45939,2.25379,1.130691
2016 August,1.375601,1.539006,2.704447,5.619055,0.748095,0.180666,0.017604,0.061121,0.125457,0.437387,0.822235,7.189384,6.933894,0.748095,0.823134,8.528195,2.211385,1.186213
2016 September,1.308702,1.464919,2.604185,5.377806,0.684522,0.151106,0.017453,0.055436,0.151438,0.413104,0.788537,6.850866,6.249451,0.684522,0.787018,7.737064,2.097864,1.184215
2016 October,1.379141,1.567014,2.69513,5.641286,0.63521,0.160072,0.017871,0.049027,0.187736,0.420841,0.835547,7.112044,6.156651,0.63521,0.831285,7.641292,2.058266,1.124287
2016 November,1.34956,1.527341,2.632338,5.509239,0.681705,0.173638,0.017796,0.041391,0.179153,0.423477,0.835455,7.026399,6.168215,0.681705,0.833214,7.703619,2.105279,1.262829
2016 December,1.276371,1.560568,2.666581,5.503521,0.749517,0.207976,0.018801,0.037087,0.213679,0.463882,0.941426,7.194465,7.369797,0.749517,0.934729,9.070671,2.124032,1.371734
2017 January,1.38174,1.572466,2.646344,5.60055,0.764768,0.246796,0.018131,0.033557,0.182789,0.445139,0.926412,7.291731,7.284873,0.764768,0.903758,8.975697,2.314684,1.379997
2017 February,1.29987,1.458651,2.44292,5.201442,0.664778,0.217825,0.016285,0.040038,0.195296,0.397887,0.867332,6.733552,6.082497,0.664778,0.852446,7.616721,1.959252,1.385274
2017 March,1.299466,1.625493,2.762505,5.687465,0.68081,0.269679,0.018149,0.062625,0.23026,0.441919,1.022631,7.390906,6.715009,0.68081,1.009623,8.422587,2.194988,1.468651
2017 April,1.183991,1.562425,2.675858,5.422274,0.593479,0.27077,0.017535,0.069427,0.226762,0.412455,0.996949,7.012702,5.842732,0.593479,0.992854,7.444268,2.111712,1.423758
2017 May,1.251819,1.629103,2.774965,5.655887,0.64127,0.298355,0.017218,0.081055,0.206832,0.431559,1.03502,7.332176,6.100198,0.64127,1.034084,7.790061,2.263762,1.454013
2017 June,1.335118,1.56351,2.711443,5.610071,0.700866,0.278434,0.016403,0.086535,0.182501,0.426871,0.990744,7.301681,6.244294,0.700866,0.991592,7.954432,2.117259,1.429731
2017 July,1.271276,1.63842,2.82798,5.737676,0.745875,0.244064,0.01788,0.083455,0.147044,0.439446,0.93189,7.415442,6.7322,0.745875,0.926697,8.422533,2.129007,1.459054
2017 August,1.423715,1.640798,2.820071,5.884585,0.757067,0.201312,0.017785,0.079621,0.125491,0.449765,0.873973,7.515625,6.641862,0.757067,0.869322,8.287823,2.152875,1.392868
2017 September,1.268566,1.63309,2.76618,5.667835,0.712236,0.175664,0.017168,0.073652,0.1645,0.420823,0.851806,7.231877,6.051014,0.712236,0.842455,7.621183,1.99326,1.479647
2017 October,1.336215,1.71261,2.93408,5.982905,0.690239,0.168449,0.016716,0.068139,0.233141,0.43775,0.924195,7.597339,6.21458,0.690239,0.913597,7.82948,2.064724,1.683963
2017 November,1.296157,1.729031,2.923559,5.948747,0.696756,0.189462,0.017097,0.050016,0.221863,0.4425,0.920939,7.566442,6.51017,0.696756,0.904868,8.122396,2.023431,1.669936
2017 December,1.277444,1.769389,2.990526,6.037359,0.770824,0.206158,0.019866,0.048769,0.226411,0.457558,0.958763,7.766946,7.495857,0.770824,0.939952,9.220468,2.132348,1.718845
2018 January,1.261133,1.771986,2.951194,5.984314,0.780456,0.228534,0.017623,0.04861,0.233396,0.453537,0.981701,7.74647,7.905212,0.780456,0.963104,9.662711,2.227522,1.575192
2018 February,1.224773,1.642639,2.73544,5.602852,0.67738,0.227059,0.016488,0.055542,0.211429,0.415238,0.925757,7.205988,6.471023,0.67738,0.900086,8.0605,1.860679,1.525556
2018 March,1.33116,1.858017,3.094315,6.283491,0.700826,0.235797,0.017855,0.073682,0.241279,0.451009,1.019622,8.00394,6.989371,0.700826,1.004196,8.709417,2.114327,1.731228
2018 April,1.178369,1.799146,2.988386,5.9659,0.618237,0.256354,0.016051,0.086276,0.24098,0.428077,1.027738,7.611875,6.246301,0.618237,1.010623,7.88508,2.12512,1.793309
2018 May,1.242824,1.850144,3.119757,6.212725,0.703833,0.277591,0.018,0.096583,0.218392,0.447899,1.058466,7.975024,6.212719,0.703833,1.049204,7.979738,2.142157,1.780701
2018 June,1.250315,1.82291,3.021158,6.094383,0.728583,0.251634,0.017071,0.102289,0.225227,0.443076,1.039297,7.862263,6.375971,0.728583,1.023991,8.143144,2.17634,1.762951
2018 July,1.279443,1.926465,3.159143,6.365051,0.757528,0.228858,0.017881,0.097262,0.149949,0.460702,0.954652,8.077231,6.896081,0.757528,0.937802,8.606545,2.16145,1.853665
2018 August,1.407969,2.009517,3.229803,6.647289,0.755713,0.20075,0.017858,0.095253,0.180948,0.464599,0.959408,8.36241,6.967937,0.755713,0.944771,8.685487,2.191516,1.738452
2018 September,1.267982,1.968173,3.200022,6.436178,0.676697,0.174752,0.017327,0.084683,0.168851,0.428885,0.874498,7.987373,6.315381,0.676697,0.854134,7.857096,1.998803,1.718488
2018 October,1.349492,2.057425,3.305872,6.71279,0.620995,0.17824,0.017001,0.072448,0.193234,0.44952,0.910443,8.244227,6.550481,0.620995,0.892353,8.0735,1.981975,1.891512
2018 November,1.277335,2.054042,3.262663,6.59404,0.668643,0.1998,0.017354,0.055746,0.200726,0.44216,0.915786,8.178469,6.934844,0.668643,0.897691,8.509805,1.895825,1.882324
2018 December,1.289571,2.129272,3.349116,6.767958,0.749177,0.207865,0.018579,0.048472,0.221611,0.45277,0.949296,8.466431,7.328645,0.749177,0.93132,9.019973,1.957559,1.954972
2019 January,1.335611,2.097231,3.351003,6.783845,0.770542,0.220797,0.018344,0.054195,0.2292,0.442819,0.965355,8.519742,7.779704,0.770542,0.942139,9.503785,2.110549,1.936231
2019 February,1.182574,1.864343,3.066139,6.113056,0.676594,0.199041,0.016784,0.057491,0.209664,0.402357,0.885337,7.674987,6.793472,0.676594,0.87145,8.352209,1.695121,1.7671
2019 March,1.130034,2.103482,3.413546,6.647063,0.680408,0.232964,0.018481,0.085705,0.237995,0.428858,1.004003,8.331474,6.994308,0.680408,0.994243,8.677151,1.914845,1.931491
2019 April,1.237125,2.075168,3.324542,6.636835,0.633374,0.232386,0.016501,0.097849,0.270861,0.422581,1.040178,8.310386,5.95909,0.633374,1.02339,7.623996,1.92447,1.908601
2019 May,1.250989,2.142644,3.425555,6.819187,0.701777,0.274114,0.017666,0.104477,0.236805,0.438483,1.071545,8.59251,6.13928,0.701777,1.060305,7.911739,2.033279,1.961798
2019 June,1.147807,2.06446,3.350758,6.563024,0.719355,0.241358,0.017632,0.112486,0.209184,0.429466,1.010127,8.292506,6.174124,0.719355,0.996986,7.902853,1.881668,1.965789
2019 July,1.183091,2.081186,3.45494,6.719217,0.754836,0.216397,0.018257,0.115613,0.200782,0.441808,0.992857,8.46691,6.826896,0.754836,0.975584,8.569889,2.014577,1.898529
2019 August,1.275692,2.18721,3.535678,6.99858,0.751826,0.189582,0.018231,0.111312,0.181145,0.443484,0.943754,8.69416,6.853491,0.751826,0.932992,8.55223,1.973095,1.986745
